source,target
405431732,98474
405431705,103492
412757057,337204
425366882,337262
406319817,215918
402176943,217978
416353751,167233
416353751,209073
406315223,207185
405413805,233234
402171136,206016
405412646,307750
405412502,19119
412755040,352451
405413128,137973
405413413,313496
400294757,352434
404601784,349756
404601784,215918
402170949,169314
439870276,348699
404601775,1122
400294944,352510
405413841,82618
405420076,209510
406315802,280802
404603719,101766
404603728,227872
416354135,78688
405420325,219890
404603808,353022
405420806,41255
405420646,225714
404603871,353237
405414519,141023
405414699,307750
405415340,352445
405415215,228822
405415215,54087
405415536,14472
412755406,316303
400294025,14644
400294025,351767
400294150,330419
405411308,352062
437374440,33326
436255972,44962
402170397,225078
405412281,352091
405412414,85260
405412290,245689
405417446,212236
420008182,347610
404602916,62900
431439204,352145
405417990,313448
400296489,315963
402172965,59308
405419202,233286
405419257,2357
436255990,352945
405416438,301101
405416517,208015
405416982,224821
402172304,323390
404602676,48689
405417115,338678
405421048,135851
416354251,214513
416354251,214512
405421397,315267
404604157,241554
405421574,240741
445588338,219650
424617329,220554
404604317,244045
400298879,25440
404605236,215215
445589676,170522
405425801,187864
402175276,65440
406318275,224572
445590931,210487
405429969,24079
405429969,193980
405430412,65730
405430305,347794
400300562,347580
404606734,241935
405422181,345182
436256061,44962
436256052,44962
402174204,317457
405422957,116733
405422920,20269
405423091,210797
405422902,31428
406317249,227313
426118177,237173
400298389,9815
419622545,223052
420433089,218000
400299823,130500
402176293,98474
405428844,83572
406319283,33417
420008388,347610
402176328,208486
405428988,173988
405429004,217093
402176505,14710
442264390,253013
416355054,69157
402174687,51272
404604870,214751
405424651,27370
400298735,208440
425366631,239696
404605076,48542
405425320,15202
416354741,219483
405425516,63959
436256089,236744
405426114,230224
406318408,223849
405426285,8215
427741081,346853
427741107,230382
426118248,347313
402175490,41934
400299155,200391
405426702,347335
405427569,253793
400299182,58034
412756655,229027
405427024,16972
426118266,347347
421278833,290371
404606887,41203
429653957,345047
405431162,194015
404607083,145854
402177283,98474
405427266,216909
405427462,254609
405428229,211207
425366944,337262
405432161,281054
427741241,300308
444960927,337362
442572315,337348
402177719,208714
406320725,181872
402177728,311599
412757155,236249
406320707,283917
406320707,94456
405444023,32211
405444023,59994
406322769,348504
402179370,344972
405444390,2661
422990669,224184
445593590,183260
406323991,353976
406325169,353932
443123237,219304
400306860,9815
406327657,355573
406327808,248009
406327808,248010
404614538,216376
402183613,8486
422433469,351016
445598988,128888
436048297,305264
405469158,355775
420434186,254698
405469229,355927
405470235,227753
420009350,355984
437073729,125305
445592234,347959
433651844,348105
426542645,298407
400302329,348163
445592500,65590
402178745,165853
406321984,197929
400313200,209509
406334382,322080
418478034,218240
445603017,170522
445603017,356201
405471341,208037
435895266,348049
418477222,28820
444552574,165366
405443186,226654
405443159,211269
405443408,207029
445592902,208171
445592902,347959
402179129,15061
404610756,348400
445591805,226977
402177764,98474
405433053,185982
405433053,166476
402177988,211766
418477142,347988
412757280,227148
404607788,283347
405434141,13141
418477197,309474
436685990,283514
445603669,222714
405473116,356651
448056825,349599
445603730,210805
412754229,290371
405405538,90081
405404502,36003
435894999,218994
400288684,104242
405393587,105695
412752123,349323
406304574,223188
405383669,234393
405383669,14472
406304707,290859
406304707,280172
400284367,296485
402161771,296398
445578072,225189
432387222,91145
404594097,209693
405382018,45425
405382081,242022
404594122,213572
433651096,294133
406303833,56685
420431562,47305
430040163,296461
404594300,45558
420431571,296410
445578241,219453
405382544,234147
424073228,296395
404594809,286463
426540629,247542
405383605,280822
405383605,199095
434177286,212362
400285099,279434
406304770,234360
405383703,211627
405383703,140608
405383703,179505
424073237,222259
420431606,93667
416351664,175250
424073219,296406
416351646,349312
427740233,225222
439419434,218444
405382875,235365
400284937,218722
404594596,349321
424254746,211997
405383035,58639
402161566,349325
402161717,219267
400285008,101569
405384828,254134
405384935,18572
402162495,264103
405385505,296125
420431697,211803
404594952,296393
436255856,211887
405385747,296078
404595005,260496
446978423,296378
437374057,296371
405384141,30367
420431633,221865
404595130,218419
445578937,181118
405384374,177902
424617132,251478
404596291,52007
405388174,11874
405388174,49043
416352146,213289
405389020,207003
405389075,349586
415600193,239440
404595915,181169
436046404,2661
404595808,17946
424617123,296118
406305920,214031
420431740,297705
425058313,210774
405387978,100316
405387978,81540
405393854,311929
406308455,279566
405393676,246675
424254844,279173
405401300,252379
404598039,145598
437978921,313646
437978921,206522
446759026,217310
405401890,30913
406308883,343229
435894962,310976
406309025,166865
404598351,280472
405389609,234338
419622260,247605
445580657,221909
404596932,349756
400287603,207455
404596987,241841
432548950,232616
430805024,51273
405391222,297942
405391366,192559
405391366,282342
405391400,192559
405391400,282342
400287998,222054
400288149,43900
445581166,254232
405391865,312136
402165438,191425
400288210,235841
418475741,34526
416352397,312098
420431982,228504
420431955,302789
405392276,349860
402165474,147095
427740439,230362
402165517,199186
405392490,4040
405392472,350115
400288461,325131
404597682,40051
404597735,29625
415107681,221604
412753667,350975
445583431,226821
402167855,229664
405405155,226674
405405146,10684
405405146,11887
402166605,25835
402166605,45431
405402470,140950
443869360,311892
406309169,107387
418475965,239421
405402880,63664
405402862,76898
405403086,6362
406309383,135410
405403406,55603
406309481,283917
406309524,311775
406309524,311776
405403175,266340
406309613,220035
404598734,306523
405403718,350876
400290038,349753
405403996,201553
400290243,208758
405404165,23430
405404254,50153
420007708,327281
402167579,311599
445583690,206962
435895024,226362
405405716,241562
415107743,351208
415107761,351232
447864160,351110
405406298,311354
404599911,280472
420432268,211907
415107798,240576
416353109,252585
404600455,207568
405408544,226987
402168462,180245
404600543,293519
405408660,231002
400292982,351658
405408731,351484
404600641,351557
405409525,50211
404600758,351805
404599975,103097
402168499,208770
405406957,1122
402168587,48291
447864179,351110
405407171,100316
400292410,311261
432387295,257579
400292562,351009
445584323,323183
402168961,104257
433651434,351442
400292642,46916
405407698,100316
402169167,44266
439870141,351472
402169238,240746
406311478,158241
421278423,25319
400293669,283499
415108047,351856
415108047,351857
418476278,351722
406312654,247583
400294043,19546
405374134,229845
445574977,217248
404591483,257594
404589717,300389
405365876,225878
405365849,293519
427739824,301866
418474715,301356
404586033,63987
405357554,4861
445568298,230036
406292337,303909
445568289,303695
404585980,29898
405357910,28839
400275750,63297
400275750,281065
416349400,226602
400275894,257550
405358553,26109
406292550,279172
404587176,16885
405358697,2976
405358697,25217
445569509,295710
406294237,188805
445569787,253980
400277393,232438
400277384,303055
418474653,217924
402150783,166601
432548442,302007
405363814,302047
406294576,301967
436255758,211890
405364154,107895
405364074,142006
405355583,225295
400274966,303939
402146414,54423
412749325,227005
406291542,217096
404585515,219791
405356243,199377
404585579,202046
435434969,232860
405356127,131433
406291784,303898
405356314,234149
428887617,237357
404585702,6878
439869322,304322
405356840,303662
448411317,303645
448411291,303623
443570128,216255
406291935,169971
405356868,42905
405356902,53535
405357000,220748
404585873,81812
404585855,220144
405357402,1122
404585953,234147
405360185,283517
405360782,302542
434176072,233402
404587728,179539
416349730,302473
402149643,228527
406294120,241129
405361576,56580
404587933,213474
405358973,92463
404587345,36566
400276296,101766
420430849,302789
402148546,213170
402148582,222458
420430947,12454
420430947,221491
426117187,302971
443570191,229684
402151531,79203
405364430,152858
405364421,302847
405364706,73528
445570472,239718
443868334,215518
412749708,216276
404588683,225269
448411727,32471
405365064,207506
400278123,215475
416350022,254431
416350022,302444
406295325,209935
402152219,73076
400278436,52052
406295520,296994
402152512,292500
404589049,82554
436045780,301199
430039745,301513
405366438,192228
405366438,301101
405366508,218308
406295744,32814
425058073,35609
405368953,98345
405369060,227158
405369060,241165
404589799,216066
417894942,300571
445572318,253980
400279523,300764
402153995,73159
402154100,349054
400279863,300336
445572880,128912
405370021,98345
406297733,191243
406297859,204798
405370209,210675
427739913,300308
406297804,228526
404590135,300440
420431161,180442
404590206,257594
406297975,141119
405370619,281175
404590180,257594
405370682,299818
416350415,214695
405367026,211269
400278659,50732
405366955,7441
405367240,293519
405367525,177769
405367570,300871
405367482,239682
402153165,293501
416350095,300815
429326071,300792
402153067,230428
404589441,4168
416350120,300815
400278962,103204
406296468,3099
412750189,301801
405368356,165095
445571952,301345
400279079,20874
405368631,202526
434176465,216261
436255785,299426
405371805,155265
405371805,104563
405372118,299489
406298741,57120
434176651,237746
412750553,284018
412750553,116407
405372528,283837
422433003,299267
400280833,33429
405372626,299302
404591045,26984
402155911,300794
405373411,209979
405373411,73756
405373590,217978
404591189,182884
405373395,161807
405373803,15961
400281397,219195
421277647,217565
404591376,298782
404591376,216630
404590554,207873
445573451,220150
445573488,299668
405371164,66280
405371057,283820
438117360,230941
438117360,209758
412750517,216707
412750517,216706
426540059,298407
405371654,212027
405371761,14902
445574968,189986
431438492,208076
404591679,207621
405375053,44330
445575191,220861
402157330,72510
404591811,298242
402157358,209345
404591866,104086
405375696,5963
422937166,349161
400282234,109836
405376123,234615
405376141,215668
405376472,279069
420007263,226697
430804891,231121
405376597,30118
400282412,297946
404592302,234189
434067902,228805
404593025,297355
441561329,217147
406302139,151855
416351281,297453
405378782,254587
400283206,208758
435894757,297255
402159560,201723
445576813,8463
445576813,223950
405378951,77704
405379237,58910
402159622,199186
416351389,222821
402159819,296985
404593374,216576
404593374,325599
445577135,298021
405379601,219876
405379601,286463
405377621,246704
405378069,219122
405378069,297561
402158801,254740
405377872,297560
406301620,76451
405377863,253798
405378096,196465
404592883,297531
406301951,297391
402158963,49400
406301906,200873
417895148,297927
434176973,297349
434176866,297349
434176875,91347
404592357,232816
405377097,297793
400282573,299726
416351165,298407
416351165,222335
402158151,165204
422737872,349165
422737872,297926
405377364,104091
418475206,283922
412751197,116269
412751213,297936
402160193,297577
405377694,10199
405379969,297522
437072784,218122
437072784,296994
437373959,296877
437373959,296878
435894775,249540
424617025,237199
402160497,209188
405380528,296617
405380500,241895
445577607,186610
445577536,246077
445577536,294045
445577527,246077
445577527,294045
405380797,174489
424617043,198823
445577769,243850
425366105,296475
402160825,296485
404593908,9437
404593908,359
415107100,116696
405381590,90859
429653519,122851
400271825,281986
400272192,194017
445561847,161868
415599025,309585
405344426,8117
400267581,201351
405332812,7441
406281580,308932
400265967,309981
436044013,235968
404577917,253225
400265976,85851
448409927,253788
448409927,129864
437373263,204075
404577953,229007
415105228,164085
405332279,239327
405332251,48840
400265690,27613
405332242,30901
441486429,207625
405332750,131065
437071801,125486
402128014,279073
406279245,240913
400265618,310132
416347091,211653
405332563,227362
400265921,309981
405333679,23444
405338031,82177
405334106,145603
406281526,227585
405334197,110160
406281731,79221
405338184,158307
433650569,215364
405338228,208137
405338424,308426
405339049,116474
424616614,29368
405334534,47077
406282295,286747
406282295,286746
402128746,70816
405334605,10684
402128844,310140
402128844,158653
405335203,156616
415105344,147293
422432772,163195
405335409,220615
405335221,141758
405335427,199311
431952247,213016
404581243,307214
406285381,220611
405344630,42521
405344550,233374
404581396,306523
445562873,234481
445562873,303645
445562873,80218
426116963,279080
437373469,221517
400270764,34034
405345531,68816
405336177,220153
405336676,165896
405336676,165895
405336890,241847
405336890,308987
405336890,150836
432547951,166966
406281303,242492
428522137,225738
404578881,308869
421277040,290371
445559182,90657
405337764,234295
415105585,220113
405340732,215024
405340732,33858
400268900,221224
402131867,227392
445561213,307655
400269017,307594
402131983,217529
400268991,93946
429325713,140608
429325713,230320
405341811,210627
415105656,131704
406284097,307352
415599187,348619
400268312,211617
400268508,229961
404579773,308577
406282794,252394
406282669,96995
445560704,234481
445560704,188189
445560704,307961
445560704,303645
424254292,307993
405340279,108262
405340395,51269
404580020,213474
404580048,99013
431179477,280805
404580057,307874
445561972,239408
402132820,307407
406284612,210800
400269909,16218
405343427,25183
402133179,296398
400270078,306824
405343739,233144
446758624,238509
433106854,306858
405343793,16745
405343793,14472
405343864,230403
402133507,204798
421277228,293941
400271255,292856
405347138,34296
404582171,138778
404582171,5963
404582171,96370
404582171,221251
405346987,75800
405346987,306145
400271497,218558
400271549,213966
400271549,96370
445564005,305729
405347389,194015
425057911,301801
406287012,279720
405345997,302542
445563346,280738
405346086,247676
443122737,208444
402141277,84356
445563649,216397
445563649,27291
412748102,306028
406287888,240913
406287888,281985
405349190,333054
405349528,234196
405349500,305087
406287977,58880
406287977,305084
405349412,305786
400272575,70370
444551833,7916
406290703,304279
405349662,305466
400274421,264150
412748692,232531
405354352,171467
405354726,230536
405354726,234191
400274476,215030
404584712,259038
427739584,304255
445567020,90657
406291025,56137
412748754,304242
424254489,304328
405355262,304087
439869304,115704
404585089,304082
404585089,25432
400272557,304945
432548335,304240
406288164,281972
406288164,305102
406288164,8803
406288164,241689
405350016,135851
434175625,279055
404583232,305394
424254452,221709
424254452,159827
405350356,224365
448410933,61516
405350338,26207
400272995,214472
424254461,304328
405351266,107102
402143907,241149
405351453,216169
405348182,228363
404582466,184996
405348333,73229
412748013,305739
446976764,13236
439869224,348699
435894533,249540
404582643,16218
405351872,304374
402144167,293519
405352121,225010
406289485,235209
445565941,152472
400273850,304385
402144345,254587
406289760,207475
443868012,304352
445566183,210806
405352915,197698
402144504,205020
402144504,22761
405353004,304364
405352997,6694
405352997,234295
405352997,6693
405352997,7159
405352997,154675
